PO Number,Vendor,PO Date,Delivery Date,Expected Delivery,Item Description,Quantity,Unit Price,Total Amount,Currency,Status,Payment Terms,Department,Location,Approval Status,Notes,Tax Amount,Grand Total,Created By,Assigned To
PO-2026-66987,Quality Distributors,2026-01-22,2026-02-04,2026-02-04,96x Monitor; 68x Power Supply,164,183.20,68650.44,USD,Cancelled,2/10 Net 30,Finance,Chicago,Rejected,Special packaging needed,6865.04,75515.48,John Smith,Lisa Anderson
PO-2026-57575,Component World,2026-01-22,2026-02-01,2026-02-01,51x Printer Paper; 56x Keyboard; 2x Office Desk; 39x Keyboard; 90x Ink Cartridge,238,38.49,146658.88,AUD,Cancelled,Net 90,Finance,London,Rejected,,14665.89,161324.77,Mike Davis,Tom Martinez
PO-2026-22871,Quality Distributors,2026-01-22,2026-02-03,2026-02-03,17x Printer Paper; 27x SSD Storage; 64x Router; 65x Router; 30x Network Switch,203,727.94,124235.56,EUR,Received,Net 30,HR,Chicago,Approved,Urgent delivery required,12423.56,136659.12,Robert Wilson,Lisa Anderson
PO-2026-95167,Acme Corp,2026-01-22,2026-01-27,2026-01-27,96x Router; 46x Router; 30x Office Desk,172,772.24,110444.04,EUR,Received,COD,Logistics,Toronto,Pending,Quality inspection required,11044.40,121488.44,Robert Wilson,Lisa Anderson
PO-2026-49161,Component World,2026-01-22,2026-02-05,2026-02-05,14x Filing Cabinet; 59x Network Switch; 68x Power Supply; 84x Laptop,225,32.95,73154.30,CAD,Partial,Net 30,Logistics,Los Angeles,Pending,Urgent delivery required,7315.43,80469.73,Emily Chen,Tom Martinez
PO-2026-64837,Industrial Parts Group,2026-01-22,2026-02-19,2026-02-19,54x Ink Cartridge; 88x SSD Storage; 94x Office Desk; 70x USB Cable,306,559.01,89741.76,GBP,Draft,Net 90,Operations,New York,Rejected,Standard delivery,8974.18,98715.94,Emily Chen,Jessica White
PO-2026-93642,Global Supplies Inc,2026-01-22,2026-02-13,2026-02-13,13x Filing Cabinet; 23x Office Desk; 93x Printer Paper,129,424.69,28117.82,EUR,Cancelled,COD,Logistics,Los Angeles,Rejected,Urgent delivery required,2811.78,30929.60,John Smith,Lisa Anderson
PO-2026-11837,Acme Corp,2026-01-22,2026-02-19,2026-02-19,96x Server RAM,96,810.23,77782.08,CAD,Draft,Net 30,Finance,Los Angeles,Rejected,,7778.21,85560.29,Robert Wilson,Tom Martinez
PO-2026-93927,Digital Systems,2026-01-22,2026-02-12,2026-02-12,69x USB Cable,69,579.66,39996.54,USD,Draft,Net 30,Logistics,Los Angeles,Rejected,Urgent delivery required,3999.65,43996.19,Sarah Johnson,Alice Brown
PO-2026-86125,Global Supplies Inc,2026-01-22,2026-01-30,2026-01-30,46x Router; 85x Router; 6x Ink Cartridge; 40x Printer Paper,177,783.49,95163.58,EUR,Draft,2/10 Net 30,Finance,Chicago,Pending,,9516.36,104679.94,Mike Davis,David Lee
PO-2026-35970,Premium Materials Co,2026-01-22,2026-01-29,2026-01-29,53x Laptop,53,707.68,37507.04,GBP,Approved,Net 30,Finance,New York,Rejected,Special packaging needed,3750.70,41257.74,John Smith,Tom Martinez
PO-2026-78180,Acme Corp,2026-01-22,2026-02-21,2026-02-21,78x Filing Cabinet; 94x Printer Paper; 81x Mouse; 92x Keyboard; 66x Laptop,411,38.03,156053.41,EUR,Pending,Net 30,Operations,London,Rejected,Standard delivery,15605.34,171658.75,Emily Chen,Jessica White
PO-2026-63215,Global Supplies Inc,2026-01-22,2026-02-06,2026-02-06,51x Power Supply; 62x USB Cable; 34x Monitor,147,357.19,34514.85,EUR,Partial,Net 30,Logistics,New York,Rejected,Urgent delivery required,3451.49,37966.33,Robert Wilson,Jessica White
PO-2026-65880,Quality Distributors,2026-01-22,2026-02-16,2026-02-16,30x Mouse; 30x Laptop; 80x Monitor; 1x Printer Paper; 43x Desk Chair,184,573.46,95166.04,GBP,Pending,Net 30,HR,Sydney,Rejected,,9516.60,104682.64,Robert Wilson,David Lee
PO-2026-62490,Enterprise Solutions,2026-01-22,2026-02-08,2026-02-08,68x Filing Cabinet; 81x Filing Cabinet; 8x Network Switch; 94x Printer Paper; 40x Office Desk,291,475.86,176249.14,EUR,Cancelled,2/10 Net 30,Logistics,Chicago,Rejected,Urgent delivery required,17624.91,193874.05,Robert Wilson,Lisa Anderson
PO-2026-97741,Global Supplies Inc,2026-01-22,2026-02-07,2026-02-07,63x Power Supply; 3x Filing Cabinet; 7x Router; 67x Power Supply,140,448.69,94492.32,EUR,Pending,COD,IT,New York,Pending,Urgent delivery required,9449.23,103941.55,John Smith,Alice Brown
PO-2026-34270,Acme Corp,2026-01-22,2026-02-18,2026-02-18,63x Laptop; 57x Monitor; 79x Router; 53x Router; 26x Desk Chair,278,521.28,144367.88,GBP,Cancelled,2/10 Net 30,Finance,London,Approved,Quality inspection required,14436.79,158804.67,Emily Chen,Jessica White
PO-2026-76718,Industrial Parts Group,2026-01-22,2026-01-29,2026-01-29,37x Server RAM,37,500.14,18505.18,USD,Draft,Due on Receipt,Operations,Sydney,Approved,Special packaging needed,1850.52,20355.70,Emily Chen,Lisa Anderson
PO-2026-50411,Premium Materials Co,2026-01-22,2026-02-02,2026-02-02,80x Keyboard; 13x Ink Cartridge; 87x Laptop; 48x Laptop,228,315.88,150090.86,AUD,Partial,Net 30,HR,London,Pending,Quality inspection required,15009.09,165099.95,Mike Davis,Alice Brown
PO-2026-38220,Quality Distributors,2026-01-22,2026-02-04,2026-02-04,66x Ink Cartridge; 75x Ink Cartridge,141,60.32,36095.37,GBP,Partial,2/10 Net 30,Logistics,New York,Pending,Standard delivery,3609.54,39704.91,Robert Wilson,David Lee
PO-2026-77061,Premium Materials Co,2026-01-22,2026-01-30,2026-01-30,90x Ink Cartridge; 93x Laptop; 51x Monitor; 49x Server RAM,283,789.55,118724.09,GBP,Draft,Due on Receipt,IT,Sydney,Pending,Quality inspection required,11872.41,130596.50,Mike Davis,Jessica White
PO-2026-81338,Premium Materials Co,2026-01-22,2026-01-28,2026-01-28,30x Office Desk; 39x Office Desk,69,633.11,42398.37,EUR,Partial,COD,Finance,Toronto,Rejected,Standard delivery,4239.84,46638.21,Robert Wilson,Jessica White
PO-2026-49628,Quality Distributors,2026-01-22,2026-02-02,2026-02-02,58x Network Switch,58,274.46,15918.68,CAD,Partial,Net 90,HR,Chicago,Pending,,1591.87,17510.55,Emily Chen,David Lee
PO-2026-79824,Digital Systems,2026-01-22,2026-02-16,2026-02-16,96x Monitor,96,106.47,10221.12,AUD,Draft,COD,Finance,Toronto,Approved,Standard delivery,1022.11,11243.23,Mike Davis,Alice Brown
PO-2026-46934,Tech Solutions Ltd,2026-01-22,2026-02-13,2026-02-13,8x Office Desk; 43x Printer Paper; 86x Mouse; 78x Monitor,215,581.43,62753.00,EUR,Received,Net 60,Operations,Chicago,Rejected,Standard delivery,6275.30,69028.30,Mike Davis,Lisa Anderson
PO-2026-21670,Quality Distributors,2026-01-22,2026-02-11,2026-02-11,76x Power Supply; 90x Printer Paper,166,383.96,108817.46,EUR,Draft,Net 60,Operations,Los Angeles,Approved,Urgent delivery required,10881.75,119699.21,John Smith,David Lee
PO-2026-16743,Global Supplies Inc,2026-01-22,2026-02-10,2026-02-10,85x Keyboard; 32x Ink Cartridge; 61x Router,178,176.77,92126.38,USD,Approved,Net 30,IT,Sydney,Approved,Standard delivery,9212.64,101339.02,Robert Wilson,Lisa Anderson
PO-2026-49492,Global Supplies Inc,2026-01-22,2026-02-04,2026-02-04,20x Filing Cabinet; 45x USB Cable,65,260.77,34933.40,CAD,Draft,Net 30,Finance,Chicago,Pending,Quality inspection required,3493.34,38426.74,Robert Wilson,Alice Brown
PO-2026-32858,Office Plus,2026-01-22,2026-01-29,2026-01-29,3x SSD Storage,3,611.89,1835.67,CAD,Received,Net 90,Logistics,Chicago,Approved,Quality inspection required,183.57,2019.24,Mike Davis,Jessica White
PO-2026-85799,Component World,2026-01-22,2026-02-09,2026-02-09,47x Keyboard; 57x Office Desk; 43x Ink Cartridge; 12x USB Cable; 56x Laptop,215,22.89,115814.21,USD,Draft,Net 30,HR,New York,Rejected,Standard delivery,11581.42,127395.63,Sarah Johnson,Lisa Anderson
PO-2026-46621,Component World,2026-01-22,2026-01-28,2026-01-28,78x Ink Cartridge; 6x Filing Cabinet,84,477.59,41135.70,AUD,Cancelled,Net 30,HR,London,Pending,Special packaging needed,4113.57,45249.27,John Smith,Lisa Anderson
PO-2026-50484,Enterprise Solutions,2026-01-22,2026-01-28,2026-01-28,27x Desk Chair; 93x Network Switch; 58x Filing Cabinet; 25x Power Supply; 37x Server RAM,240,608.09,136145.46,USD,Cancelled,Due on Receipt,Logistics,Chicago,Approved,Quality inspection required,13614.55,149760.01,Sarah Johnson,Lisa Anderson
PO-2026-95928,Office Plus,2026-01-22,2026-01-29,2026-01-29,51x Laptop; 52x Desk Chair; 58x Router,161,207.25,26386.81,EUR,Pending,Net 30,HR,Sydney,Pending,Urgent delivery required,2638.68,29025.49,Sarah Johnson,Tom Martinez
PO-2026-94292,Tech Solutions Ltd,2026-01-22,2026-02-05,2026-02-05,45x Office Desk,45,818.39,36827.55,AUD,Draft,Net 60,Finance,Chicago,Rejected,Urgent delivery required,3682.76,40510.31,Robert Wilson,Tom Martinez
PO-2026-87362,Acme Corp,2026-01-22,2026-02-10,2026-02-10,18x SSD Storage,18,341.30,6143.40,EUR,Cancelled,Due on Receipt,HR,Chicago,Pending,Urgent delivery required,614.34,6757.74,John Smith,Lisa Anderson
PO-2026-46134,Office Plus,2026-01-22,2026-02-02,2026-02-02,22x Ink Cartridge; 17x Keyboard; 90x Office Desk,129,924.33,89411.16,EUR,Approved,Net 90,HR,New York,Approved,,8941.12,98352.28,John Smith,David Lee
PO-2026-63190,Industrial Parts Group,2026-01-22,2026-02-01,2026-02-01,16x SSD Storage; 26x SSD Storage,42,893.67,15797.10,GBP,Draft,Due on Receipt,HR,Sydney,Approved,Special packaging needed,1579.71,17376.81,John Smith,Alice Brown
PO-2026-50352,Global Supplies Inc,2026-01-22,2026-02-06,2026-02-06,43x Office Desk; 8x Desk Chair; 74x Filing Cabinet; 98x Keyboard; 77x SSD Storage,300,816.27,134008.44,EUR,Partial,Due on Receipt,Finance,Sydney,Rejected,Standard delivery,13400.84,147409.28,Emily Chen,Lisa Anderson
PO-2026-78113,Acme Corp,2026-01-22,2026-02-15,2026-02-15,6x Filing Cabinet; 57x Mouse; 88x SSD Storage; 48x Laptop,199,95.97,33928.97,GBP,Approved,Net 60,IT,New York,Rejected,,3392.90,37321.87,Mike Davis,Jessica White
PO-2026-42842,Enterprise Solutions,2026-01-22,2026-02-19,2026-02-19,72x Printer Paper; 24x Server RAM; 42x Router; 9x Desk Chair; 83x Server RAM,230,743.41,90974.11,EUR,Pending,2/10 Net 30,Operations,Toronto,Approved,Urgent delivery required,9097.41,100071.52,John Smith,Lisa Anderson
PO-2026-33510,Office Plus,2026-01-22,2026-01-27,2026-01-27,18x Office Desk; 78x Office Desk,96,290.65,45946.92,GBP,Pending,Net 90,Logistics,Toronto,Rejected,Quality inspection required,4594.69,50541.61,Robert Wilson,David Lee
PO-2026-32906,Premium Materials Co,2026-01-22,2026-02-04,2026-02-04,17x Server RAM; 87x Mouse,104,50.34,17939.10,USD,Pending,Net 90,IT,Los Angeles,Rejected,Urgent delivery required,1793.91,19733.01,Robert Wilson,Jessica White
PO-2026-67485,Industrial Parts Group,2026-01-22,2026-02-08,2026-02-08,89x Desk Chair; 19x Server RAM; 51x Filing Cabinet; 56x Keyboard,215,489.02,126204.01,AUD,Cancelled,Net 90,Logistics,Sydney,Approved,Quality inspection required,12620.40,138824.41,Emily Chen,Jessica White
PO-2026-82856,Premium Materials Co,2026-01-22,2026-02-17,2026-02-17,95x SSD Storage; 17x Server RAM,112,237.35,34676.90,CAD,Partial,2/10 Net 30,HR,Chicago,Approved,Standard delivery,3467.69,38144.59,Emily Chen,Tom Martinez
PO-2026-87378,Tech Solutions Ltd,2026-01-22,2026-02-18,2026-02-18,92x Laptop; 8x Server RAM; 15x Router; 6x Mouse,121,504.05,61381.42,EUR,Draft,Net 90,Logistics,Los Angeles,Pending,Special packaging needed,6138.14,67519.56,Emily Chen,Lisa Anderson
PO-2026-56880,Enterprise Solutions,2026-01-22,2026-02-11,2026-02-11,5x Laptop; 43x Printer Paper,48,232.55,20094.36,AUD,Approved,Net 60,IT,Toronto,Pending,Quality inspection required,2009.44,22103.80,Emily Chen,Tom Martinez
PO-2026-25682,Office Plus,2026-01-22,2026-02-06,2026-02-06,15x Power Supply; 77x Ink Cartridge; 38x Keyboard; 83x Router,213,121.19,82933.21,GBP,Received,2/10 Net 30,Finance,Chicago,Rejected,Urgent delivery required,8293.32,91226.53,Emily Chen,Tom Martinez
PO-2026-67413,Global Supplies Inc,2026-01-22,2026-02-08,2026-02-08,65x Ink Cartridge; 53x Server RAM,118,278.29,36449.11,USD,Cancelled,2/10 Net 30,HR,Los Angeles,Pending,,3644.91,40094.02,Mike Davis,David Lee
PO-2026-43791,Tech Solutions Ltd,2026-01-22,2026-02-16,2026-02-16,91x Desk Chair; 84x Network Switch; 40x Power Supply; 6x Laptop; 23x Ink Cartridge,244,242.95,116574.12,EUR,Pending,2/10 Net 30,Logistics,Toronto,Pending,Special packaging needed,11657.41,128231.53,Emily Chen,Lisa Anderson
PO-2026-67460,Acme Corp,2026-01-22,2026-02-13,2026-02-13,12x Ink Cartridge; 74x Mouse,86,63.35,20043.86,CAD,Pending,Due on Receipt,IT,Toronto,Approved,Quality inspection required,2004.39,22048.25,Robert Wilson,Lisa Anderson
PO-2026-19864,Premium Materials Co,2026-01-22,2026-02-10,2026-02-10,91x Keyboard; 78x Printer Paper; 81x Network Switch; 37x Network Switch; 51x Mouse,338,976.50,171448.20,USD,Partial,2/10 Net 30,Logistics,Toronto,Pending,Standard delivery,17144.82,188593.02,John Smith,Tom Martinez
PO-2026-78425,Office Plus,2026-01-22,2026-02-18,2026-02-18,21x Desk Chair; 10x SSD Storage; 19x Desk Chair; 3x Network Switch,53,151.67,12916.61,USD,Draft,Net 30,Operations,Los Angeles,Rejected,Standard delivery,1291.66,14208.27,Mike Davis,Jessica White
PO-2026-21704,Premium Materials Co,2026-01-22,2026-02-13,2026-02-13,24x Printer Paper; 5x Laptop; 1x Server RAM,30,552.97,15590.32,GBP,Partial,Due on Receipt,Logistics,Sydney,Approved,,1559.03,17149.35,John Smith,Jessica White
PO-2026-52012,Quality Distributors,2026-01-22,2026-02-12,2026-02-12,90x USB Cable; 97x SSD Storage,187,200.87,85723.19,GBP,Approved,2/10 Net 30,HR,Sydney,Pending,Standard delivery,8572.32,94295.51,Mike Davis,Lisa Anderson
PO-2026-86181,Global Supplies Inc,2026-01-22,2026-02-02,2026-02-02,97x Router; 58x Ink Cartridge; 41x Printer Paper; 22x SSD Storage; 56x Monitor,274,407.40,157532.64,USD,Approved,COD,Operations,Los Angeles,Approved,Quality inspection required,15753.26,173285.90,Mike Davis,David Lee
PO-2026-38385,Component World,2026-01-22,2026-02-06,2026-02-06,59x Laptop; 46x USB Cable,105,41.76,27730.26,AUD,Approved,Net 90,Logistics,Chicago,Approved,Urgent delivery required,2773.03,30503.29,John Smith,Tom Martinez
PO-2026-77675,Premium Materials Co,2026-01-22,2026-02-15,2026-02-15,97x Laptop,97,991.51,96176.47,GBP,Partial,COD,Operations,Toronto,Rejected,Special packaging needed,9617.65,105794.12,Sarah Johnson,Alice Brown
PO-2026-44269,Industrial Parts Group,2026-01-22,2026-01-28,2026-01-28,89x Laptop; 65x Monitor; 100x Desk Chair; 29x USB Cable; 9x Monitor,292,538.94,103000.00,CAD,Received,COD,HR,New York,Rejected,Special packaging needed,10300.00,113300.00,Mike Davis,Jessica White
PO-2026-89759,Premium Materials Co,2026-01-22,2026-01-28,2026-01-28,54x Keyboard; 58x Ink Cartridge; 85x Network Switch,197,100.89,112048.98,USD,Partial,Net 90,Logistics,Los Angeles,Rejected,Quality inspection required,11204.90,123253.88,Sarah Johnson,Alice Brown
PO-2026-65487,Tech Solutions Ltd,2026-01-22,2026-02-18,2026-02-18,14x Ink Cartridge; 31x Router; 78x USB Cable,123,655.43,80946.55,GBP,Draft,COD,Logistics,Chicago,Pending,,8094.66,89041.21,John Smith,Jessica White
PO-2026-59406,Digital Systems,2026-01-22,2026-02-10,2026-02-10,64x Filing Cabinet; 80x Monitor; 18x Laptop; 71x USB Cable,233,399.54,41691.59,CAD,Received,Net 60,Logistics,London,Approved,Quality inspection required,4169.16,45860.75,Emily Chen,Lisa Anderson
PO-2026-71125,Office Plus,2026-01-22,2026-02-04,2026-02-04,55x Ink Cartridge; 57x USB Cable; 76x Power Supply,188,829.92,71763.00,AUD,Draft,Net 30,Finance,New York,Rejected,Urgent delivery required,7176.30,78939.30,John Smith,Jessica White
PO-2026-76459,Tech Solutions Ltd,2026-01-22,2026-02-08,2026-02-08,66x Network Switch; 76x Keyboard,142,179.13,27533.30,USD,Cancelled,Due on Receipt,Operations,Toronto,Rejected,Standard delivery,2753.33,30286.63,Emily Chen,Lisa Anderson
PO-2026-61959,Office Plus,2026-01-22,2026-01-30,2026-01-30,61x USB Cable; 39x Monitor,100,703.28,43983.89,CAD,Pending,2/10 Net 30,Operations,Chicago,Rejected,Quality inspection required,4398.39,48382.28,Mike Davis,David Lee
PO-2026-90688,Tech Solutions Ltd,2026-01-22,2026-02-19,2026-02-19,69x Server RAM,69,38.18,2634.42,EUR,Approved,Net 90,HR,London,Rejected,Standard delivery,263.44,2897.86,Emily Chen,Alice Brown
PO-2026-23388,Digital Systems,2026-01-22,2026-01-29,2026-01-29,14x Desk Chair; 21x Ink Cartridge,35,167.81,9057.79,EUR,Cancelled,COD,HR,Los Angeles,Rejected,,905.78,9963.57,Sarah Johnson,Jessica White
PO-2026-65854,Digital Systems,2026-01-22,2026-01-30,2026-01-30,57x Printer Paper; 48x Router; 11x SSD Storage; 62x Monitor; 8x SSD Storage,186,878.59,149202.33,USD,Draft,2/10 Net 30,Finance,Sydney,Pending,Quality inspection required,14920.23,164122.56,Robert Wilson,David Lee
PO-2026-70077,Tech Solutions Ltd,2026-01-22,2026-02-10,2026-02-10,87x Network Switch; 33x Printer Paper; 59x Router; 72x Monitor; 24x Power Supply,275,817.62,201054.51,USD,Approved,2/10 Net 30,HR,Toronto,Rejected,Standard delivery,20105.45,221159.96,Mike Davis,Jessica White
PO-2026-24435,Enterprise Solutions,2026-01-22,2026-02-14,2026-02-14,79x Filing Cabinet; 91x Network Switch; 30x Filing Cabinet; 53x Ink Cartridge,253,873.39,147321.45,CAD,Cancelled,Net 90,Finance,Chicago,Approved,Standard delivery,14732.15,162053.60,Robert Wilson,Alice Brown
PO-2026-56525,Enterprise Solutions,2026-01-22,2026-02-01,2026-02-01,60x USB Cable; 95x Server RAM; 15x Mouse,170,65.70,57257.40,AUD,Pending,Due on Receipt,Logistics,Sydney,Pending,Urgent delivery required,5725.74,62983.14,John Smith,Tom Martinez
PO-2026-76339,Enterprise Solutions,2026-01-22,2026-02-09,2026-02-09,47x Router; 94x Desk Chair,141,407.14,101828.32,CAD,Partial,Due on Receipt,HR,Sydney,Pending,Quality inspection required,10182.83,112011.15,Robert Wilson,Alice Brown
PO-2026-50536,Office Plus,2026-01-22,2026-02-02,2026-02-02,14x USB Cable; 8x Laptop; 69x Monitor; 94x Monitor,185,357.16,86535.06,USD,Received,Net 60,Finance,New York,Rejected,Urgent delivery required,8653.51,95188.57,John Smith,Alice Brown
PO-2026-21674,Enterprise Solutions,2026-01-22,2026-02-06,2026-02-06,63x Router; 69x Server RAM; 30x Monitor; 77x Mouse; 45x Mouse,284,46.00,149032.24,AUD,Approved,COD,HR,Chicago,Approved,Quality inspection required,14903.22,163935.46,Robert Wilson,Jessica White
PO-2026-57747,Quality Distributors,2026-01-22,2026-02-21,2026-02-21,63x Laptop; 61x USB Cable; 74x Network Switch; 48x USB Cable,246,805.04,101820.14,EUR,Cancelled,Net 30,Finance,Toronto,Rejected,Quality inspection required,10182.01,112002.15,John Smith,Lisa Anderson
PO-2026-23822,Acme Corp,2026-01-22,2026-02-19,2026-02-19,38x Ink Cartridge; 34x SSD Storage,72,887.68,38468.04,AUD,Pending,Net 90,Operations,Sydney,Rejected,Urgent delivery required,3846.80,42314.84,Sarah Johnson,Tom Martinez
PO-2026-90546,Digital Systems,2026-01-22,2026-01-30,2026-01-30,65x Desk Chair; 87x SSD Storage; 65x Server RAM; 20x SSD Storage; 89x SSD Storage,326,644.25,82584.18,AUD,Approved,Net 30,Finance,Toronto,Rejected,Quality inspection required,8258.42,90842.60,Mike Davis,David Lee
PO-2026-87537,Enterprise Solutions,2026-01-22,2026-02-04,2026-02-04,59x Desk Chair; 87x Mouse,146,195.76,79549.04,AUD,Approved,Net 60,Finance,New York,Rejected,,7954.90,87503.94,John Smith,Tom Martinez
PO-2026-28715,Premium Materials Co,2026-01-22,2026-02-16,2026-02-16,30x Ink Cartridge,30,738.96,22168.80,GBP,Approved,Net 60,HR,Los Angeles,Pending,Special packaging needed,2216.88,24385.68,Emily Chen,David Lee
PO-2026-39598,Industrial Parts Group,2026-01-22,2026-01-28,2026-01-28,48x USB Cable; 55x Monitor,103,435.14,21958.12,AUD,Draft,Net 60,Logistics,Toronto,Approved,Special packaging needed,2195.81,24153.93,Mike Davis,Lisa Anderson
PO-2026-81870,Component World,2026-01-22,2026-02-10,2026-02-10,78x Laptop; 76x USB Cable; 20x Monitor,174,660.99,76154.46,EUR,Cancelled,Net 30,Operations,New York,Approved,Standard delivery,7615.45,83769.91,Mike Davis,David Lee
PO-2026-92876,Digital Systems,2026-01-22,2026-01-29,2026-01-29,50x Keyboard; 61x Power Supply; 26x SSD Storage; 48x Keyboard,185,841.21,97396.85,AUD,Draft,Net 90,HR,Los Angeles,Rejected,Quality inspection required,9739.68,107136.54,Mike Davis,Lisa Anderson
PO-2026-62511,Component World,2026-01-22,2026-02-09,2026-02-09,42x Monitor; 54x Filing Cabinet; 54x Ink Cartridge; 55x Power Supply; 95x SSD Storage,300,801.58,169630.02,CAD,Approved,Net 90,HR,Chicago,Rejected,,16963.00,186593.02,Mike Davis,Lisa Anderson
PO-2026-49407,Premium Materials Co,2026-01-22,2026-02-10,2026-02-10,21x Monitor; 7x Mouse,28,220.40,7964.88,AUD,Cancelled,COD,Logistics,Toronto,Pending,Standard delivery,796.49,8761.37,John Smith,David Lee
PO-2026-45531,Acme Corp,2026-01-22,2026-02-13,2026-02-13,52x Office Desk; 61x Desk Chair; 4x Network Switch,117,766.01,58589.32,GBP,Draft,Net 60,Operations,London,Pending,Standard delivery,5858.93,64448.25,Robert Wilson,Alice Brown
PO-2026-69646,Quality Distributors,2026-01-22,2026-01-29,2026-01-29,66x Router; 12x Laptop,78,350.15,34114.14,AUD,Draft,2/10 Net 30,Operations,Sydney,Pending,Urgent delivery required,3411.41,37525.55,Emily Chen,Jessica White
PO-2026-99606,Industrial Parts Group,2026-01-22,2026-02-02,2026-02-02,68x Laptop; 44x Server RAM; 43x Router; 63x Desk Chair,218,46.37,102069.96,USD,Pending,COD,Operations,Toronto,Approved,Standard delivery,10207.00,112276.96,Emily Chen,David Lee
PO-2026-22998,Global Supplies Inc,2026-01-22,2026-02-08,2026-02-08,90x Office Desk; 71x Power Supply,161,246.65,79490.53,USD,Pending,COD,Logistics,New York,Rejected,Standard delivery,7949.05,87439.58,Robert Wilson,Jessica White
PO-2026-96192,Component World,2026-01-22,2026-02-16,2026-02-16,11x Printer Paper; 46x SSD Storage; 43x Ink Cartridge; 22x Ink Cartridge; 49x Printer Paper,171,458.19,59211.59,CAD,Approved,COD,IT,New York,Pending,Urgent delivery required,5921.16,65132.75,Mike Davis,Lisa Anderson
PO-2026-90630,Tech Solutions Ltd,2026-01-22,2026-02-13,2026-02-13,99x Desk Chair; 21x Server RAM; 44x Mouse; 97x Server RAM; 53x USB Cable,314,997.40,269605.29,CAD,Draft,Net 90,IT,Los Angeles,Rejected,Quality inspection required,26960.53,296565.82,Emily Chen,Jessica White
PO-2026-86316,Enterprise Solutions,2026-01-22,2026-02-21,2026-02-21,42x Monitor; 43x Filing Cabinet; 21x Mouse,106,332.69,55027.75,GBP,Approved,Net 60,IT,London,Pending,Urgent delivery required,5502.78,60530.53,Mike Davis,Lisa Anderson
PO-2026-79378,Enterprise Solutions,2026-01-22,2026-01-30,2026-01-30,81x Office Desk,81,580.78,47043.18,GBP,Pending,Net 30,Operations,Los Angeles,Approved,Urgent delivery required,4704.32,51747.50,Sarah Johnson,Tom Martinez
PO-2026-73649,Enterprise Solutions,2026-01-22,2026-01-30,2026-01-30,71x Mouse; 98x Power Supply; 26x Desk Chair; 97x Power Supply; 24x Monitor,316,877.46,196433.81,USD,Received,Due on Receipt,IT,New York,Pending,,19643.38,216077.19,Robert Wilson,Alice Brown
PO-2026-15889,Premium Materials Co,2026-01-22,2026-01-27,2026-01-27,51x USB Cable; 11x Router; 1x Keyboard; 69x Server RAM; 67x Laptop,199,867.60,103154.36,USD,Received,Net 30,Finance,London,Pending,Quality inspection required,10315.44,113469.80,John Smith,Lisa Anderson
PO-2026-21323,Premium Materials Co,2026-01-22,2026-02-11,2026-02-11,89x Office Desk; 20x SSD Storage; 80x Mouse,189,185.91,76071.19,AUD,Approved,Net 30,HR,Sydney,Approved,Standard delivery,7607.12,83678.31,Sarah Johnson,David Lee
PO-2026-78351,Enterprise Solutions,2026-01-22,2026-02-18,2026-02-18,52x Power Supply; 35x Ink Cartridge; 55x Filing Cabinet,142,632.79,69490.28,USD,Received,Net 90,Finance,Chicago,Pending,Quality inspection required,6949.03,76439.31,Robert Wilson,Alice Brown
PO-2026-54712,Industrial Parts Group,2026-01-22,2026-02-01,2026-02-01,11x Filing Cabinet; 94x Filing Cabinet; 50x Ink Cartridge,155,21.45,45772.35,USD,Partial,Net 90,IT,Toronto,Rejected,Quality inspection required,4577.24,50349.59,Emily Chen,David Lee
PO-2026-96116,Enterprise Solutions,2026-01-22,2026-02-03,2026-02-03,91x Office Desk; 65x Router; 55x Power Supply; 85x Desk Chair,296,603.39,165405.09,EUR,Received,Due on Receipt,HR,New York,Pending,Quality inspection required,16540.51,181945.60,Sarah Johnson,Alice Brown
PO-2026-36619,Premium Materials Co,2026-01-22,2026-02-19,2026-02-19,84x Keyboard; 32x SSD Storage; 96x Server RAM; 40x Printer Paper,252,888.97,180400.28,CAD,Draft,Net 90,Operations,Toronto,Pending,Urgent delivery required,18040.03,198440.31,John Smith,Jessica White
PO-2026-67042,Digital Systems,2026-01-22,2026-01-27,2026-01-27,67x Ink Cartridge; 55x Mouse; 61x Office Desk; 67x Laptop,250,834.04,127880.97,USD,Draft,Due on Receipt,Operations,London,Pending,Special packaging needed,12788.10,140669.07,Sarah Johnson,David Lee
PO-2026-54426,Acme Corp,2026-01-22,2026-01-28,2026-01-28,10x Monitor; 81x Printer Paper,91,185.98,73032.07,CAD,Draft,2/10 Net 30,HR,New York,Pending,Quality inspection required,7303.21,80335.28,Sarah Johnson,David Lee
PO-2026-40955,Acme Corp,2026-01-22,2026-02-21,2026-02-21,13x Filing Cabinet,13,255.40,3320.20,USD,Received,Due on Receipt,Operations,Toronto,Approved,,332.02,3652.22,Emily Chen,David Lee
PO-2026-45852,Enterprise Solutions,2026-01-22,2026-02-18,2026-02-18,49x Desk Chair; 83x Desk Chair; 89x Power Supply; 54x Network Switch,275,314.27,187952.07,AUD,Pending,Net 60,IT,Chicago,Pending,Special packaging needed,18795.21,206747.28,John Smith,David Lee
